controller,annotation,qtd_ingresses,pct_do_total,valores_distintos,valores_encontrados,exemplos_de_ingresses
kong,ingress.kubernetes.io/service-upstream,315,51.7%,2,false | true,accounts-auth/a3s-api-internal | automation/automation-event-based-engine | automation/workflow-engine
nginx,nginx.ingress.kubernetes.io/force-ssl-redirect,244,40.1%,2,false | true,automation/automation-event-based-engine | connect/rd-albato | connect/rd-albato-com-br
nginx,nginx.ingress.kubernetes.io/whitelist-source-range,173,28.4%,53,"0.0.0.0/0 | 0.0.0.0/0,
179.108.123.80/28,
45.235.52.24/29,
189.28.39.112 | 0.0.0.0/0,179.108.123.80/28,45.235.52.24/29,189.28.39.112/29 | 0.0.0.0/0,::/0 | 10.0.0.0/8 | 10.0.0.0/8,177.135.66.241/29,177.135.66.241/29,177.135.66.24 | 10.0.0.0/8,179.108.123.80/28,177.135.66.240/29,187.61.201.25 | 10.0.0.0/8,179.108.123.80/28,177.135.66.240/29,187.61.201.25",automation/automation-event-based-engine | connect/rd-albato | crm/kibana-crm
kong,konghq.com/strip-path,151,24.8%,2,false | true,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/preserve-host,146,24.0%,2,false | true,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/protocols,144,23.6%,3,"grpc | http | http,https",account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/connect-timeout,141,23.2%,1,600000,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/https-redirect-status-code,141,23.2%,2,301 | 426,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/path-handling,141,23.2%,1,v0,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/read-timeout,141,23.2%,1,600000,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/retries,141,23.2%,2,0 | 5,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/write-timeout,141,23.2%,1,600000,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/request-buffering,139,22.8%,2,false | true,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/response-buffering,139,22.8%,2,false | true,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
nginx,nginx.ingress.kubernetes.io/ssl-redirect,134,22.0%,2,false | true,accounts-auth/a3s-api-internal | automation/workflow-engine | core/cdp-entities-consistency-checker
kong,konghq.com/regex-priority,123,20.2%,3,0 | 10 | 100,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
kong,konghq.com/tags,120,19.7%,2,grpc | http,account-onboarding-service/account-onboarding-service-ingress | automation-api/automation-api-ingress | automation-external/automation-external-ingress
nginx,nginx.ingress.kubernetes.io/proxy-body-size,72,11.8%,14,100m | 10M | 125m | 128m | 16m | 1m | 256m | 25M,accounts-auth/a3s-api-internal | moteam/galaga | leadgen/event-harbor
nginx,nginx.ingress.kubernetes.io/proxy-read-timeout,50,8.2%,6,15600 | 1800 | 300 | 3600 | 60 | 600,accounts-auth/a3s-api-internal | pope/sidekiq-dashboard | accounts-auth/a3s-api-internal
nginx,nginx.ingress.kubernetes.io/proxy-send-timeout,50,8.2%,6,15600 | 1800 | 300 | 3600 | 60 | 600,accounts-auth/a3s-api-internal | pope/sidekiq-dashboard | accounts-auth/a3s-api-internal
nginx,nginx.ingress.kubernetes.io/backend-protocol,46,7.6%,3,GRPC | HTTP | HTTPS,connect/rd-albato | connect/rd-albato-com-br | connect/rd-albato-nuvemshop
nginx,nginx.ingress.kubernetes.io/proxy-connect-timeout,37,6.1%,5,15600 | 30 | 300 | 60 | 600,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal | elasticsearch/kibana-es-cm-ent-01
nginx,nginx.ingress.kubernetes.io/upstream-vhost,32,5.3%,17,model-app-svc.rdsm.svc.cluster.local | plugcrm-assets.s3.amazonaws.com | rdstation-nuvemshop.albato-embedded.net | rdstation-nuvemshop.albato.net | rdstation-pipedrive.albato-embedded.net | rdstation-pipedrive.albato.net | rdstation-salesforce.albato-embedded-staging.net | rdstation-salesforce.albato-embedded.net,connect/rd-albato | connect/rd-albato-com-br | connect/rd-albato-nuvemshop
nginx,nginx.ingress.kubernetes.io/custom-http-errors,31,5.1%,10," | 404, 412, 413, 500, 501, 502, 503, 504 | 404,500,502,503 | 418 | 500 | 500,502,503 | 500,502,503,401,404 | 501",accounts-auth/a3s-api-internal | rdsm/rdsm-web | accounts-auth/a3s-api-internal
nginx,nginx.ingress.kubernetes.io/server-snippet,29,4.8%,11,"# Favicon fix
location = /favicon.ico {
  access_log off;
   | add_header X-Robots-Tag ""noindex, nofollow""; | keepalive_timeout 75;
client_header_timeout 75;

sendfile on | keepalive_timeout 75;
client_header_timeout 75;

sendfile on | keepalive_timeout 75;
client_header_timeout 75;

sendfile on | location /signup {
  if ($args ~* ""step=setup"") {
  # Se tiv | location ~ ^/signup/?$ {
  # It redirects if URL do not cont | location ~ ^/signup/?$ {
  # It redirects if URL do not cont",ingress-nginx/catch-all-deny-ingress | ingress-nginx/catch-all-deny-ingress | analyze/rds-assets-app-api
nginx,nginx.ingress.kubernetes.io/service-upstream,23,3.8%,1,true,elasticsearch/kibana-es-cm-etl-01 | elasticsearch/kibana-es-cm-usc1-prd-midmarket-01 | elasticsearch/kibana-es-cm-pro-03
nginx,nginx.ingress.kubernetes.io/configuration-snippet,20,3.3%,11,"add_header Content-Security-Policy ""frame-ancestors 'self' h | auth_request_set $name_upstream_1 $upstream_cookie__oauth2_p | if ($request_uri ~* ""^/api/v2"") {
  return 401;
}

location  | location /api/v1/credentials {
  return 403;
}
 | more_clear_headers 'Content-Security-Policy';
more_clear_hea | more_clear_headers Content-Security-Policy; more_clear_heade | proxy_intercept_errors off;
 | proxy_set_header Client-IP """";
proxy_set_header Authorizatio",rdsm/rdsm-web | crm/web-sidekiq-oauth | devexp/backstage
kong,konghq.com/plugins,16,2.6%,15,"rate-limiting | rate-limiting-resource-name,response-transformer-resource-na | ratelimit-hydra-api-consumer | redirect-academy-api | redirect-docs-v2 | redirect-faq-api | redirect-faq-public-api | redirect-megasac-root",megasac/academy-api | megasac/faq-api | megasac/faq-public-api
