annotation_key,controller,uso_total,nginx_ingresses,kong_ingresses,valores_distintos,exemplos_de_valores,exemplos_de_ingresses
kubectl.kubernetes.io/last-applied-configuration,other,604,391,163,586,"{""apiVersion"":""networking.k8s.io/v1"",""kind"":""Ingress"",""metadata"":{""annotations"":; {""apiVersion"":""networking.k8s.io/v1"",""kind"":""Ingress"",""metadata"":{""annotations"":; {""apiVersion"":""networking.k8s.io/v1"",""kind"":""Ingress"",""metadata"":{""annotations"":; {""apiVersion"":""networking.k8s.io/v1"",""kind"":""Ingress"",""metadata"":{""annotations"":; {""apiVersion"":""networking.k8s.io/v1"",""kind"":""Ingress"",""metadata"":{""annotations"":",accounts-auth/a3s-api-internal; automation/automation-event-based-engine; automation/workflow-engine
artifact.spinnaker.io/type,other,317,287,4,1,kubernetes/ingress,automation/automation-event-based-engine; crm/kibana-crm; moteam/galaga
artifact.spinnaker.io/location,other,316,286,4,55,accounts-auth; analyze; attract; automation; billing,automation/automation-event-based-engine; crm/kibana-crm; moteam/galaga
artifact.spinnaker.io/name,other,316,286,4,196,a3s-api; a3s-api-internal; access-orchestration-app; account-api; ai-platform-builder,automation/automation-event-based-engine; crm/kibana-crm; moteam/galaga
artifact.spinnaker.io/version,other,316,286,4,1,,automation/automation-event-based-engine; crm/kibana-crm; moteam/galaga
moniker.spinnaker.io/application,other,316,286,4,116,a3s; access-orchestration-app; ai-platform; ai-platform-builder; ai-platform-inngest,automation/automation-event-based-engine; crm/kibana-crm; moteam/galaga
moniker.spinnaker.io/cluster,other,316,286,4,196,ingress a3s-api; ingress a3s-api-internal; ingress access-orchestration-app; ingress account-api; ingress ai-platform-builder,automation/automation-event-based-engine; crm/kibana-crm; moteam/galaga
ingress.kubernetes.io/service-upstream,kong,315,306,0,2,false; true,accounts-auth/a3s-api-internal; automation/automation-event-based-engine; automation/workflow-engine
prometheus.io/scrape,other,291,270,0,1,true,accounts-auth/a3s-api-internal; automation/automation-event-based-engine; automation/workflow-engine
nginx.ingress.kubernetes.io/force-ssl-redirect,nginx,244,223,0,2,false; true,automation/automation-event-based-engine; connect/rd-albato; connect/rd-albato-com-br
