source_controller,annotation,cluster,namespace,ingress,valor,funcionalidade,apisix_plugin,apisix_config,suporte,observacoes,jira_card
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,accounts-auth,a3s-api-internal,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,automation,automation-event-based-engine,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,automation,workflow-engine,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rd-albato,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rd-albato-com-br,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rd-albato-nuvemshop,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rd-albato-nuvemshop-com-br,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rd-albato-woocommerce,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rd-albato-woocommerce-com-br,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-pipedrive-com,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-pipedrive-com-br,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-salesforce-com,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-salesforce-com-br,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-shopify-com,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-shopify-com-br,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-vtex-com,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,rdstation-albato-vtex-com-br,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
kong,ingress.kubernetes.io/service-upstream,production-230322__cluster-production,connect,statuspage-rdstation,true,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,
