project_id,cluster,namespace,ingress,deploy_type,spinnaker_app,spinnaker_cluster,helm_release,helm_chart,helm_chart_artifact,evidence,hosts,source_repo
production-230322,cluster-production,accounts-auth,a3s-api-internal,spinnaker+helm-rdsm,,,,,,rdsm-style,a3s-api.production.rdops.systems,
production-230322,cluster-production,automation,automation-event-based-engine,spinnaker+helm-rails,automation-event-based-engine,ingress automation-event-based-engine,,,rails-0.5.4.tgz,rails-style,automation-event-based-engine.production.rdops.systems,
production-230322,cluster-production,automation,workflow-engine,manual,,,,,,lens/freelens,wengine-production.rdstation.com.br,
production-230322,cluster-production,connect,rd-albato,manual,,,,,,lens/freelens,albato.rdstation.com,
production-230322,cluster-production,connect,rd-albato-com-br,manual,,,,,,lens/freelens,albato.rdstation.com.br,
production-230322,cluster-production,connect,rd-albato-nuvemshop,manual,,,,,,lens/freelens,albato-nuvemshop.rdstation.com,
production-230322,cluster-production,connect,rd-albato-nuvemshop-com-br,manual,,,,,,lens/freelens,albato-nuvemshop.rdstation.com.br,
production-230322,cluster-production,connect,rd-albato-woocommerce,manual,,,,,,lens/freelens,albato-woocommerce.rdstation.com,
production-230322,cluster-production,connect,rd-albato-woocommerce-com-br,manual,,,,,,lens/freelens,albato-woocommerce.rdstation.com.br,
production-230322,cluster-production,connect,rdstation-albato-pipedrive-com,manual,,,,,,lens/freelens,albato-pipedrive.rdstation.com,
production-230322,cluster-production,connect,rdstation-albato-pipedrive-com-br,manual,,,,,,lens/freelens,albato-pipedrive.rdstation.com.br,
production-230322,cluster-production,connect,rdstation-albato-salesforce-com,manual,,,,,,lens/freelens,albato-salesforce.rdstation.com,
production-230322,cluster-production,connect,rdstation-albato-salesforce-com-br,manual,,,,,,lens/freelens,albato-salesforce.rdstation.com.br,
production-230322,cluster-production,connect,rdstation-albato-shopify-com,manual,,,,,,lens/freelens,albato-shopify.rdstation.com,
production-230322,cluster-production,connect,rdstation-albato-shopify-com-br,manual,,,,,,lens/freelens,albato-shopify.rdstation.com.br,
production-230322,cluster-production,connect,rdstation-albato-vtex-com,manual,,,,,,lens/freelens,albato-vtex.rdstation.com,
production-230322,cluster-production,connect,rdstation-albato-vtex-com-br,manual,,,,,,lens/freelens,albato-vtex.rdstation.com.br,
production-230322,cluster-production,connect,statuspage-rdstation,manual,,,,,,lens/freelens,status.rdstation.com.br,
production-230322,cluster-production,core,cdp-entities-consistency-checker,manual,,,,,,lens/freelens,cdp.rd.services,
production-230322,cluster-production,crm,kibana-crm,spinnaker+helm-rails,crm,ingress kibana-crm,,,eck-elasticsearch-0.3.0.tgz,rails-style,kibana-crm.production.rdops.systems,https://github.com/ResultadosDigitais/rds-crm
production-230322,cluster-production,moteam,galaga,spinnaker+manifesto,galaga,ingress galaga,,,,galaga,galaga.rdstation.com.br,
production-230322,cluster-production,leadgen,event-harbor,spinnaker+helm-rails,event-harbor,ingress event-harbor,,,go-app-0.6.0.tgz,rails-style,event-harbor.rdstation.com,
production-230322,cluster-production,olimpo,hefesto,spinnaker+manifesto,hefesto,ingress hefesto,,,,hefesto,hefesto.rdstation.com.br,
production-230322,cluster-production,olimpo,lead-vacuum,spinnaker+manifesto,lead-vacuum-worker,ingress lead-vacuum,,,,lead-vacuum-worker,lead-vacuum.rdstation.com.br,
production-230322,cluster-production,sauron,gyruss,spinnaker+manifesto,gyruss,ingress gyruss,,,external-secret-0.1.1.tgz,gyruss,event-api.rdstation.com.br,https://github.com/ResultadosDigitais/helm
