cluster,namespace,ingress,host,path,backend_service,backend_port,plugin_config,tipo_lb,nginx_status,apisix_status,coexistencia_confirmada,status,validacao
staging-234557,attract,es-staging-http-apisix,es-staging.rdops.systems,/,es-staging-es-http,9200,es-staging-http-apisix-plugins,externo,403,403,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,attract,kibana-es-staging-apisix,kibana-es-staging.rdops.systems,/,kibana-es-staging-kb-http,5601,kibana-es-staging-apisix-plugins,externo,403,403,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,crm,web-internal-apisix,crm.staging.rdops.systems,/,web-internal,80,web-internal-apisix-plugins,interno,404,404,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,elasticsearch,kibana-es-cm-staging-apisix,kibana-es-cm-staging.staging.rdops.systems,/,kibana-stg-elasticsearch-kb-http,5601,kibana-es-cm-staging-apisix-plugins,interno,302,302,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,email,email-validator-apisix,email-validator-staging.rdstation.com.br,/,email-validator,80,email-validator-apisix-plugins,externo,403,403,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,email,rd-chat-api-internal-apisix,rd-chat-api-internal.staging.rdops.systems,/,rd-chat-api,80,rd-chat-api-internal-apisix-plugins,interno,404,404,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,email,rd-chat-api-tallos-apisix,rd-chat-api-tallos-stg.rdops.systems,/,rd-chat-api,80,rd-chat-api-tallos-apisix-plugins,externo,401,401,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,insights,ai-platform-litellm-apisix,inference.staging.rdops.systems,/,ai-platform-litellm,4000,ai-platform-litellm-apisix-plugins,externo,200,200,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,leadgen,event-harbor-apisix,event-harbor.staging.rdops.systems,/,event-harbor,80,event-harbor-apisix-plugins,externo,302,302,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,leadgen,webpusher-apisix,webpusher.staging.rdops.systems,/,webpusher,80,webpusher-apisix-plugins,externo,301,301,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,rdsm,rdsm-email-validator-apisix,app-staging.rdstation.com.br,/web_api/v1/email_validator,web-api,80,rdsm-email-validator-apisix-plugins,externo,500,500,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
staging-234557,rdsm,rdsm-web-api-apisix,internal-web-api-staging.rdops.systems,/,web-api,80,rdsm-web-api-apisix-plugins,interno,302,302,sim,In Progress,https://github.com/ResultadosDigitais/helm-apisix/issues/33
