cluster,namespace,service,type,classificacao,external_ip,backend_configs,annotations_lb
cluster-production,ingress-nginx,nginx-ingress-nginx-controller,LoadBalancer,LB com NEG,35.223.116.65,nenhum,"{""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
cluster-production,ingress-nginx,nginx-ingress-nginx-controller-admission,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,"{""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
cluster-production,ingress-nginx,nginx-ingress-nginx-controller-internal,LoadBalancer,LoadBalancer Internal (L4),10.1.97.35,nenhum,"{""cloud.google.com/load-balancer-type"": ""Internal""}"
cluster-production,ingress-nginx,nginx-ingress-nginx-controller-metrics,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,"{""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
cluster-production,ingress-nginx,nginx-ingress-nginx-defaultbackend,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,"{""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
services-gke-usc1-accounts-prd-01,ingress-nginx,nginx-ingress-nginx-controller,LoadBalancer,TCP passthrough,35.223.144.170,nenhum,{}
services-gke-usc1-accounts-prd-01,ingress-nginx,nginx-ingress-nginx-controller-admission,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
services-gke-usc1-accounts-prd-01,ingress-nginx,nginx-ingress-nginx-controller-internal,LoadBalancer,LoadBalancer Internal (L4),10.80.0.9,nenhum,"{""cloud.google.com/load-balancer-type"": ""Internal""}"
services-gke-usc1-accounts-prd-01,ingress-nginx,nginx-ingress-nginx-controller-metrics,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
services-gke-usc1-accounts-prd-01,ingress-nginx,nginx-ingress-nginx-defaultbackend,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
gke-usc1-analytics-prd-01,ingress-nginx,nginx-ingress-nginx-controller,LoadBalancer,TCP passthrough,104.154.80.242,nenhum,{}
gke-usc1-analytics-prd-01,ingress-nginx,nginx-ingress-nginx-controller-admission,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
gke-usc1-analytics-prd-01,ingress-nginx,nginx-ingress-nginx-controller-internal,LoadBalancer,LoadBalancer Internal (L4),10.80.16.39,nenhum,"{""cloud.google.com/load-balancer-type"": ""Internal""}"
gke-usc1-analytics-prd-01,ingress-nginx,nginx-ingress-nginx-controller-metrics,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
gke-usc1-analytics-prd-01,ingress-nginx,nginx-ingress-nginx-defaultbackend,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
gke-usc1-automation-prd-01,ingress-nginx,nginx-ingress-nginx-controller,LoadBalancer,TCP passthrough,35.184.60.44,nenhum,{}
gke-usc1-automation-prd-01,ingress-nginx,nginx-ingress-nginx-controller-admission,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
gke-usc1-automation-prd-01,ingress-nginx,nginx-ingress-nginx-controller-internal,LoadBalancer,LoadBalancer Internal (L4),10.80.48.24,nenhum,"{""cloud.google.com/load-balancer-type"": ""Internal""}"
