cluster,namespace,ingress,spinnaker_app,chart,repo_chart,ingress_class,spinnaker_url,observacao,status_migracao
staging-234557,accounts-auth,a3s-api-internal,,,,sem-versão,,sem moniker spinnaker,sem moniker — não gerenciado pelo Spinnaker
staging-234557,accounts-auth,hydra-admin-api,hydra-api,go-app-0.9.1.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/hydra-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,accounts-auth,hydra-api,hydra-api,go-app-0.9.1.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/hydra-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,accounts-auth,platform-session-service,platform-session-service,rails-0.6.3.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/platform-session-service/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
staging-234557,accounts-auth,rd-auth,rd-auth,rails-0.6.3.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/rd-auth/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,accounts-auth,rd-auth-internal,rd-auth,rails-0.6.3.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/rd-auth/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,accounts-auth,user-confirmail,user-confirmail,rails-0.6.3.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/user-confirmail/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,analyze,access-orchestration-app,attribution-analysis-api,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/attribution-analysis-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,analyze,advanced-analytics,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,analyze,attribution-analysis-api,attribution-analysis-api,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/attribution-analysis-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,analyze,basic-analytics,basic-analytics,rails-0.6.1.tgz,https://github.com/resultadosdigitais/basic_analytics,configurável,https://spinnaker.rdops.systems/#/applications/basic-analytics/executions,,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,analyze,data-platform-data-access-api,data-platform-data-access-api,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/data-platform-data-access-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,analyze,gooddata-exporter,gooddata-exporter,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/gooddata-exporter/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,analyze,insights-platform-api,,,,sem-versão,,sem dados no deploy_types,
staging-234557,analyze,report-builder-api,report-builder-api,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/report-builder-api/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,attract,es-staging-http,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,attract,eye-api,eye-api,manifesto-inline,https://github.com/ResultadosDigitais/rd-paas,já-migrado,https://spinnaker.rdops.systems/#/applications/eye-api/executions,,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,attract,kibana-es-staging,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,attract,laracna,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,attract,lead-tracker,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,attract,pageview-notify,pageview-notify,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/pageview-notify/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,attract,seobackend,seobackend,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/seobackend/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,attract,showcase-backend-rails,showcase-backend-rails,rails-0.4.17.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/showcase-backend-rails/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,attract,showcase-public,showcase-public,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/showcase-public/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,automation,automation-event-based-engine,automation-event-based-engine,rails-0.5.4.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/automation-event-based-engine/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
staging-234557,automation,automation-templates-api,,,,sem-versão,,sem dados no deploy_types,
staging-234557,automation,automation-templates-core,,,,sem-versão,,sem dados no deploy_types,
staging-234557,compliance,hefesto-app,hefesto,manifesto-inline,,já-migrado,https://spinnaker.rdops.systems/#/applications/hefesto/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,compliance,lead-vacuum-app,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,compliance,veritas-ingress,veritas,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/veritas/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,connect,appstore-externo,rd-app-store,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-app-store/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,connect,appstore-interno,rd-app-store,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-app-store/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,connect,rd-albato-com-br,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,connect,rd-albato,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,connect,rd-albato-nuvemshop-com-br,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,connect,rd-albato-nuvemshop,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,connect,rd-albato-woocommerce-com-br,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,connect,rd-albato-woocommerce,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,connect,rd-pipedrive,,,,sem-versão,,kubectl apply direto,kubectl apply direto
